#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
disgruntled	dis (intensifier) + gruntle (utter grunts). The grunts of the workers showed they were displeased with the changes at the factory.	dissatisfied, discontent	The workers were disgruntled after their requests for better working conditions were ignored.	displeased, discontented, unhappy
contrived	"Looks like ""con trivia."" The con artist created forced trivia with huge prizes to lure gullible preys."	deliberately created rather than arising naturally or spontaneously	The plot of the novel felt contrived and lacked the natural flow of a well-told story.	artificial, forced, strained
simulate	From Latin “simulare” (to imitate). The simulator was used to imitate the real experience, allowing pilots to fake a flying experience safely.	imitate the appearance or character of	The flight simulator is designed to closely simulate the experience of flying a real airplane.	feign, replicate, imitate
perquisite	"Looks like ""perk-quisite."" To receive this perk, the requisite is being a student."	a perk or benefit	One of the perquisites of his job is access to the company’s private jet.	benefit, advantage, privilege
disabuse	From Latin “disabusus” (to free from error). The teacher disillusioned the students’ misunderstandings and errors	to free someone from a misconception	The teacher disabused the students of the notion that the exam would be easy.	disillusion, correct, set straight
preposterous	pre (before) + post (after) + erous. The idea that event A happens both before and after event B sounds absurd.	contrary to reason or common sense; absurd	The idea that aliens built the pyramids is preposterous.	absurd, ridiculous, ludicrous
bluster	"Sounds like ""blast her."" The boss blast her with rant, but most of which is just bombastic threat."	to talk in a loud, aggressive, or indignant way with little effect	Despite his bluster, he failed to convince anyone of his argument.	boast, rant, bellow, bombast
blasé	"Sounds like ""blasts."" After so many blasts of excitement, he became indifferent to new experiences, blasé about everything."	indifferent to something because one has experienced or seen it so often before	She was blasé about the vacation destination, having been there many times before.	indifferent, nonchalant, unconcerned
indenture	"Looks like ""in debt to."" The apprentice was in debt to his master, so he was bound by an indenture contract that required him to work for the master for 5 years."	to bind someone by a contract, especially as an apprentice or laborer	He was indentured to a blacksmith for seven years to learn the trade.	bind, contract, obligate
insurgence	"Sounds like ""inmates surged."" The inmates surged in a sudden revolt against the prison guards, showing their insurgence."	a rebellion or revolt	The insurgence was quickly put down by the government forces.	rebellion, uprising, mutiny
picayune	"Sounds like ""pikachu june."" The tiny pikachu I bought you in June was of little value, but now the price skyrockets."	of little value or importance	His concerns were dismissed as picayune, unworthy of serious attention.	petty, trivial, insignificant
splinter	The wood splintered into tiny fragments, breaking apart with a sharp crack.	to break into small fragments	The mirror splintered into a thousand pieces when it hit the ground.	fragment, shatter, split
proffer	"Looks like ""offer."" The professional offered a helping hand to the novice during job search time."	to offer or present for acceptance	He proffered his resignation after the scandal broke out.	offer, extend, present
harken back	The design of the house harkened back to ancient times, recalling the architecture of the past.	to recall or remember something from the past	The design harkens back to the elegance of the Victorian era.	recall, reminisce, evoke
atavistic	"Looks like ""a TA visit."" A TA visits her ancient notes to answer difficult questions from the students."	relating to or characterized by reversion to something ancient or ancestral	The tribe’s rituals are atavistic, rooted in their ancient past.	ancestral, primitive, ancient
persecution	"From Latin per (utterly) + sequi (follow, as in ""execute"", ""prosecute""). The refugees were followed by the hostile locals and persistent oppression and discrimination."	hostility and ill-treatment, especially because of race, political, or religious beliefs	The refugees fled their homeland to escape religious persecution.	oppression, discrimination, abuse
fracas	"Sounds like ""frantic clash."" The frantic clash in the bar turned into a full-blown quarrel, disturbing everyone nearby."	a noisy disturbance or quarrel	A fracas broke out in the bar when someone spilled a drink.	disturbance, quarrel, scuffle, brawl, affray, tussle, melee, fight, clash, skirmish, brouhaha, riot, uproar, commotion; argument, altercation
heretofore	here-to-fore looks like now to before, which means before now	before now	The technology, heretofore unknown, is now widely available to the public.	previously, until now, formerly
anodyne	From Greek an (without) + odunē (pain). The anodyne comment was painless and inoffensive.	inoffensive or unlikely to provoke; also, something that soothes pain	His speech was carefully anodyne, designed to offend no one.	harmless, bland, soothing
gingerly	To pick up ginger cookie, you have to hold it gingerly so it wouldn’t crumble.	in a careful or cautious manner	She gingerly picked up the fragile vase, afraid it might break.	cautiously, carefully, delicately
ethereal	From Greek “aether” (upper air, heaven). The ethereal music floated like ether in the air, so delicate it seemed almost heavenly.	extremely delicate and light in a way that seems too perfect for this world	The singer’s ethereal voice captivated everyone in the audience.	delicate, exquisite, heavenly
congeal	"Sounds like ""con(with) gel."" With gelatin, you can solidify jelly after cooking and letting it cool."	to solidify or coagulate, especially by cooling	The blood began to congeal on the surface of the wound.	solidify, harden, coagulate
surmise	"Sounds like ""summary."" The detective guessed the culprit based on the summary of evidence."	to suppose that something is true without having evidence to confirm it	He surmised that she was not coming to the party based on her previous comments.	guess, conjecture, speculate
inexorable	"Sounds like ""in(not) axe honorable"" We cannot axe this honorable old tree! But the automatic axe is unstoppable now."	impossible to stop or prevent	The inexorable advance of technology changes every aspect of our lives.	unstoppable, relentless, inevitable
unduly	undue + ly. The undue attention the idol received was excessively disconcerting.	to an unwarranted degree; excessively	She was unduly harsh in her criticism, making the atmosphere tense.	excessively, disproportionately, overly, inordinately
